city_id,district_name,week_end,listing_count,avg_unit_price,median_unit_price,min_unit_price,max_unit_price
1,天河区,2026-01-04,6,72359.83,70578.0,67767.0,81537.0
1,天河区,2026-01-11,5,73033.4,76703.0,60865.0,81696.0
1,天河区,2026-01-18,4,71295.5,71723.5,62195.0,79540.0
1,天河区,2026-01-25,3,70273.33,69891.0,69533.0,71396.0
1,天河区,2026-02-01,4,67939.25,67651.5,63031.0,73423.0
1,天河区,2026-02-08,3,72159.67,70641.0,64856.0,80982.0
1,天河区,2026-02-15,5,69210.2,69402.0,59800.0,74833.0
1,天河区,2026-02-22,6,73433.5,71653.5,69690.0,79695.0
1,天河区,2026-03-01,4,73201.25,71927.0,65462.0,83489.0
1,天河区,2026-03-08,5,73125.8,72508.0,70225.0,76123.0
1,天河区,2026-03-15,5,69391.2,68909.0,66108.0,75255.0
1,天河区,2026-03-22,4,74521.75,74649.0,63405.0,85384.0
1,天河区,2026-03-29,5,67327.8,66463.0,59735.0,79268.0
1,天河区,2026-04-05,4,80823.75,84466.5,69324.0,85038.0
1,天河区,2026-04-12,2,73611.5,73611.5,70885.0,76338.0
1,天河区,2026-04-19,3,71012.33,67104.0,64297.0,81636.0
1,天河区,2026-04-26,5,74190.4,78108.0,61705.0,85272.0
1,天河区,2026-05-03,4,81684.5,82980.0,73883.0,86895.0
1,天河区,2026-05-10,2,75967.0,75967.0,74900.0,77034.0
1,天河区,2026-05-17,5,72882.8,72483.0,65777.0,81403.0
1,天河区,2026-05-24,3,69262.0,70924.0,65139.0,71723.0
1,天河区,2026-05-31,6,77537.17,76573.0,74991.0,82907.0
1,天河区,2026-06-07,5,69519.8,71500.0,58577.0,79010.0
1,天河区,2026-06-14,5,70264.0,65202.0,64523.0,83791.0
1,天河区,2026-06-21,4,71553.0,74297.5,61224.0,76393.0
1,天河区,2026-06-28,4,72531.75,70333.0,68171.0,81290.0
1,海珠区,2026-01-04,3,54166.67,57867.0,46729.0,57904.0
1,海珠区,2026-01-11,3,53207.33,50882.0,50450.0,58290.0
1,海珠区,2026-01-18,5,49461.8,50220.0,43001.0,53924.0
1,海珠区,2026-01-25,5,52588.2,53372.0,46169.0,56104.0
1,海珠区,2026-02-01,6,51334.0,51251.0,44277.0,57767.0
1,海珠区,2026-02-08,2,51772.5,51772.5,50928.0,52617.0
1,海珠区,2026-02-15,5,51136.2,48802.0,46011.0,57245.0
1,海珠区,2026-02-22,5,52389.4,51410.0,43730.0,58214.0
1,海珠区,2026-03-01,5,50210.6,48011.0,45710.0,59340.0
1,海珠区,2026-03-08,5,54136.0,53858.0,45105.0,61073.0
1,海珠区,2026-03-15,5,55247.4,56711.0,46659.0,60728.0
1,海珠区,2026-03-22,4,55657.25,58032.5,43944.0,62620.0
1,海珠区,2026-03-29,4,49535.75,48392.5,45010.0,56348.0
1,海珠区,2026-04-05,6,51948.33,51440.5,46130.0,57968.0
1,海珠区,2026-04-12,5,53820.2,53933.0,45711.0,62367.0
1,海珠区,2026-04-19,5,56024.0,58125.0,47082.0,63595.0
1,海珠区,2026-04-26,3,60066.33,58584.0,57992.0,63623.0
1,海珠区,2026-05-03,3,51223.0,51138.0,46103.0,56428.0
1,海珠区,2026-05-10,4,52332.5,52618.5,44858.0,59235.0
1,海珠区,2026-05-17,5,53607.6,53264.0,48823.0,58725.0
1,海珠区,2026-05-24,5,55637.8,55446.0,49794.0,61266.0
1,海珠区,2026-05-31,4,55994.5,56267.5,53221.0,58222.0
1,海珠区,2026-06-07,4,56364.75,55510.0,51177.0,63262.0
1,海珠区,2026-06-14,4,51142.75,51237.0,48475.0,53622.0
1,海珠区,2026-06-21,6,50545.17,50824.0,46849.0,55289.0
1,海珠区,2026-06-28,2,49635.5,49635.5,42283.0,56988.0
1,番禺区,2026-01-04,3,33927.0,33668.0,33095.0,35018.0
1,番禺区,2026-01-11,4,35332.75,35055.5,29862.0,41358.0
1,番禺区,2026-01-18,5,35934.8,34366.0,29919.0,40603.0
1,番禺区,2026-01-25,3,35986.67,36242.0,34327.0,37391.0
1,番禺区,2026-02-01,3,33779.0,35120.0,30195.0,36022.0
1,番禺区,2026-02-08,4,33453.5,34146.5,28666.0,36855.0
1,番禺区,2026-02-15,4,33586.75,34089.0,29597.0,36572.0
1,番禺区,2026-02-22,5,35546.4,34287.0,31838.0,40850.0
1,番禺区,2026-03-01,4,35190.75,33769.0,31701.0,41524.0
1,番禺区,2026-03-08,5,35189.6,34987.0,32475.0,37516.0
1,番禺区,2026-03-15,4,34187.0,32941.5,29519.0,41346.0
