listing_id,city_id,district_name,tag
1,2,,四房
1,2,,朝南
1,2,,豪装
1,2,,名校区
1,2,,带电梯
2,2,,三房
2,2,,朝南
2,2,,豪装
2,2,,名校区
2,2,,近地铁
2,2,,带电梯
3,2,,三房
3,2,,朝南
3,2,,精装
3,2,,名校区
3,2,,楼龄新
4,2,,三房
4,2,,朝南
4,2,,南北通透
4,2,,名校区
4,2,,地铁可达
4,2,,带电梯
5,2,,三房
5,2,,朝南
5,2,,精装
5,2,,名校区
5,2,,地铁可达
5,2,,楼龄新
5,2,,带电梯
6,2,,四房
6,2,,精装
6,2,,名校区
6,2,,地铁可达
7,2,,四房
7,2,,朝南
7,2,,名校区
7,2,,近地铁
7,2,,带电梯
8,2,,三房
8,2,,朝南
8,2,,南北通透
8,2,,毛坯
8,2,,名校区
8,2,,地铁可达
8,2,,带电梯
9,2,,四房
9,2,,精装
9,2,,名校区
9,2,,地铁可达
9,2,,带电梯
10,2,,两房
10,2,,朝南
10,2,,南北通透
10,2,,毛坯
10,2,,名校区
10,2,,地铁可达
10,2,,带电梯
11,2,,三房
11,2,,朝南
11,2,,精装
11,2,,名校区
11,2,,近地铁
12,2,,三房
12,2,,朝南
12,2,,精装
12,2,,名校区
12,2,,近地铁
13,2,,三房
13,2,,毛坯
13,2,,名校区
13,2,,近地铁
13,2,,带电梯
14,2,,四房
14,2,,朝南
14,2,,南北通透
14,2,,精装
14,2,,名校区
14,2,,地铁可达
14,2,,楼龄新
15,2,,两房
15,2,,朝南
15,2,,名校区
15,2,,地铁可达
15,2,,带电梯
16,2,,三房
16,2,,朝南
16,2,,精装
16,2,,名校区
16,2,,近地铁
16,2,,带电梯
17,2,,四房
17,2,,朝南
17,2,,名校区
17,2,,地铁可达
18,2,,三房
18,2,,朝南
18,2,,南北通透
18,2,,毛坯
18,2,,名校区
18,2,,地铁可达
18,2,,楼龄新
18,2,,带电梯
19,2,,三房
19,2,,朝南
19,2,,豪装
19,2,,名校区
19,2,,地铁可达
19,2,,带电梯
20,2,,两房
20,2,,名校区
20,2,,近地铁
20,2,,带电梯
21,2,,两房
21,2,,朝南
21,2,,豪装
21,2,,名校区
21,2,,地铁可达
22,2,,三房
22,2,,毛坯
22,2,,名校区
22,2,,地铁可达
23,2,,三房
23,2,,朝南
23,2,,南北通透
23,2,,豪装
23,2,,名校区
23,2,,楼龄新
24,2,,三房
24,2,,精装
24,2,,名校区
24,2,,地铁可达
24,2,,带电梯
25,2,,两房
25,2,,朝南
25,2,,南北通透
25,2,,名校区
25,2,,近地铁
25,2,,带电梯
26,2,,四房
26,2,,精装
26,2,,名校区
26,2,,近地铁
27,2,,三房
27,2,,朝南
27,2,,精装
