city_id,city_name,community_id,community_name,district_name,total_listings,recent_4w_count,new_2w_count,stale_count,freshness_score,median_age_days
1,广州,13,越秀公园东门,越秀区,57,9,3,30,26.3,91
1,广州,17,万科四季花城,番禺区,52,7,2,26,21.2,88
1,广州,11,侨鑫汇景新城,天河区,56,7,2,32,19.6,105
1,广州,18,碧桂园凤凰城,番禺区,52,6,2,32,19.2,112
1,广州,12,珠江帝景苑,天河区,55,6,2,33,18.2,105
1,广州,15,保利天悦,海珠区,59,7,1,34,15.3,98
1,广州,14,北京路名宅,越秀区,46,5,1,26,15.2,108
1,广州,16,广州塔江景花园,海珠区,54,5,1,34,13.0,108
2,深圳,10,深业上城,福田区,50,9,5,28,38.0,94
2,深圳,4,京基100,福田区,53,9,5,30,35.8,98
2,深圳,9,海月花园,福田区,53,9,5,30,35.8,98
2,深圳,5,水围村,福田区,54,9,5,31,35.2,102
2,深圳,7,中海天钻,龙岗区,51,9,4,25,33.3,84
2,深圳,3,熙璟城,南山区,63,10,5,34,31.7,98
2,深圳,1,华润城润府,南山区,52,8,4,30,30.8,102
2,深圳,2,深圳湾科技城,南山区,61,10,4,35,29.5,105
2,深圳,8,万科城,龙岗区,59,8,4,37,27.1,112
2,深圳,6,鸿荣源壹城中心,龙华区,54,7,3,27,24.1,88
3,珠海,20,华发新城,香洲区,56,8,3,31,25.0,94
3,珠海,19,中信红树湾,香洲区,44,6,2,27,22.7,108
3,珠海,22,世荣作品一号,斗门区,53,6,2,34,18.9,105
3,珠海,21,珠海万科城,斗门区,59,6,2,32,16.9,98
3,珠海,23,格力海岸,香洲区,53,5,1,28,13.2,91
