city_id,city_code,district_code,district_name
1,4401,440117,从化区
1,4401,440115,南沙区
1,4401,440118,增城区
1,4401,440106,天河区
1,4401,440105,海珠区
1,4401,440113,番禺区
1,4401,440111,白云区
1,4401,440114,花都区
1,4401,440103,荔湾区
1,4401,440104,越秀区
1,4401,440112,黄埔区
2,4403,440311,光明区
2,4403,440305,南山区
2,4403,440310,坪山区
2,4403,440306,宝安区
2,4403,440308,盐田区
2,4403,440304,福田区
2,4403,440303,罗湖区
2,4403,440309,龙华区
2,4403,440307,龙岗区
2,4403,440312,大鹏新区
3,4404,440403,斗门区
3,4404,440404,金湾区
3,4404,440402,香洲区
