xq_id,name,district_slug,district,bizcircle
2420025938270491,松盛大厦,baoanqu,宝安区,松岗
2420030727276029,永福苑,baoanqu,宝安区,福永
2420025938270663,松兴大厦,baoanqu,宝安区,松岗
2420030728317637,海境界家园二期,nanshanqu,南山区,蛇口
2420030706300912,龙源居,longgangqu,龙岗区,龙岗中心城
2420025937227093,华海大厦附属楼,futianqu,福田区,华强南
2420030728315502,六约商住楼,longgangqu,龙岗区,横岗
2420030689481066,信达泰禾金尊府,pingshanqu,坪山区,坪山
2420030685323441,德馨楼,longgangqu,龙岗区,龙岗中心城
2420030448206774,莲塘路200号,luohuqu,罗湖区,莲塘
2420025945611217,轻工大厦(深中街),luohuqu,罗湖区,东门
2420030728315684,明善居,longhuaqu,龙华区,龙华中心
2420030729364383,精量电子公寓,nanshanqu,南山区,西丽
2420030727276604,国威公寓,luohuqu,罗湖区,莲塘
2420025936176932,蛇口大厦,nanshanqu,南山区,蛇口
2420025936176783,尚美创客大厦,longhuaqu,龙华区,观澜
2420025937224497,花城大厦,longgangqu,龙岗区,坂田
2420025936177194,深圳鼎丰大厦,luohuqu,罗湖区,万象城
2420025937220999,和诚大厦,longgangqu,龙岗区,坂田
2420025937226539,东海王大厦,longgangqu,龙岗区,坂田
2420025936177695,富林大厦,futianqu,福田区,福田保税区
2420025937223040,橄榄大厦,futianqu,福田区,福田中心
2420025937223247,天安科创大厦,longgangqu,龙岗区,坂田
